County,Constituency,Sub-County,IEBC_CN,IEBC-CC,IEBC-CN,IEBC-CONSC,VOTERS,ColCODE,ConstNAME,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Mandera,Mandera North,Mandera North,MANDERA NORTH,9,MANDERA ,41,45216,41,Mandera-North,101910878,148444084,157648028,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Mandera,Mandera South,Mandera South,MANDERA SOUTH,9,MANDERA ,42,34691,42,Mandera-South,124673643,182930270,194480361,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Mandera,Mandera East,Mandera East,MANDERA EAST,9,MANDERA ,43,48219,43,Mandera-East,85702452,123887894,131421242,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Mandera,Lafey,Lafey,LAFEY ,9,MANDERA ,44,18564,44,Lafey,97017837,141030998,149730618,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Marsabit,Moyale,Moyale,MOYALE ,10,MARSABIT ,45,66402,45,Moyale,82357489,118820188,126008772,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Marsabit,North Horr,North Horr,NORTH HORR,10,MARSABIT ,46,36855,46,North-Horr,75834968,108938398,115454708,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Marsabit,Saku,Saku,SAKU ,10,MARSABIT ,47,30209,47,Saku,66766053,95198754,100780335,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173351923
Marsabit,Laisamis,Laisamis,LAISAMIS ,10,MARSABIT ,48,33446,48,Laisamis,74385414,106742285,113109190,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Isiolo,Isiolo North,Isiolo North,ISIOLO NORTH,11,ISIOLO ,49,67323,49,Isiolo-North,76566084,110046058,116637724,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Isiolo,Isiolo South,Isiolo South,ISIOLO SOUTH,11,ISIOLO ,50,22181,50,Isiolo-South,68849750,98355609,104151956,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173351923
Meru,Igembe South,Igembe South,IGEMBE SOUTH,12,MERU ,51,77126,51,Igembe-South,73499422,105399984,111675571,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Meru,Igembe Central,Igembe Central,IGEMBE CENTRAL,12,MERU ,52,93434,52,Igembe-Central,77476226,111424946,118110421,81896551.72,98189655.17,109040875.5,137367724.1,137118879.3,137088879,145087603,175361810,179441954.5,192613248
Meru,Igembe North,Igembe North,IGEMBE NORTH,12,MERU ,53,77050,53,Igembe-North,81215335,117089795,124160657,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Meru,Tigania West,Tigania West,TIGANIA WEST,12,MERU ,54,70283,54,Tigania-West,69081948,98707396,104527675,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192704248
Meru,Tigania East,Tigania East,TIGANIA EAST,12,MERU ,55,83527,55,Tigania-East,76771049,110356584,116969376,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Meru,North Imenti,North Imenti,NORTH IMENTI,12,MERU ,56,96241,56,North-Imenti,67275272,95970233,101604299,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,176202770,179441954.5,192613248
Meru,Buuri,Buuri,BUURI ,12,MERU ,57,82341,57,Buuri,69588509,99474849,105347340,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Meru,Central Imenti,Central Imenti,CENTRAL IMENTI,12,MERU ,58,76495,58,Central-Imenti,66821605,95282916,100870223,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182994585
Meru,South Imenti,South Imenti,SOUTH IMENTI,12,MERU ,59,115642,59,South-Imenti,69757002,99730120,105619977,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202319910
